timestamp,market_slug,side,entry_price,shares,outcome,pnl_usd
2026-04-19 19:24:40,btc-updown-5m-1776644400,UP,0.94,5,Up,0.3
2026-04-19 19:24:43,btc-updown-5m-1776644400,UP,0.93,5,Up,0.35
2026-04-20 14:08:32,btc-updown-5m-1776711900,UP,0.74,6,Up,1.56
2026-04-20 14:09:35,btc-updown-5m-1776711900,UP,0.95,5,Up,0.25
2026-04-20 14:09:38,btc-updown-5m-1776711900,UP,0.96,5,Up,0.2
2026-04-20 14:09:41,btc-updown-5m-1776711900,UP,0.96,5,Up,0.2
2026-04-20 14:13:44,btc-updown-5m-1776712200,DOWN,0.94,5,Down,0.3
2026-04-20 14:14:14,btc-updown-5m-1776712200,DOWN,0.96,5,Down,0.2
2026-04-20 14:18:32,btc-updown-5m-1776712500,DOWN,0.97,5,Down,0.15
2026-04-20 14:18:32,btc-updown-5m-1776712500,DOWN,0.97,5,Down,0.15
2026-04-20 14:23:31,btc-updown-5m-1776712800,DOWN,0.85,5,Down,0.75
2026-04-20 14:23:31,btc-updown-5m-1776712800,DOWN,0.85,5,Down,0.75
2026-04-20 14:29:19,btc-updown-5m-1776713100,UP,0.78,6,Up,1.32
2026-04-20 14:33:32,btc-updown-5m-1776713400,DOWN,0.77,6,Up,-4.62
2026-04-20 14:38:32,btc-updown-5m-1776713700,UP,0.7,7,Up,2.1
2026-04-20 14:44:09,btc-updown-5m-1776714000,DOWN,0.77,6,Down,1.38
2026-04-20 14:49:45,btc-updown-5m-1776714300,UP,0.7,7,Up,2.1
2026-04-20 14:53:53,btc-updown-5m-1776714600,DOWN,0.72,6,Down,1.68
2026-04-20 14:58:31,btc-updown-5m-1776714900,UP,0.96,5,Up,0.2
2026-04-20 15:03:31,btc-updown-5m-1776715200,DOWN,0.92,5,Down,0.4
2026-04-20 15:08:30,btc-updown-5m-1776715500,UP,0.8,6,Up,1.2
2026-04-20 15:13:33,btc-updown-5m-1776715800,UP,0.97,5,Up,0.15
2026-04-20 15:18:39,btc-updown-5m-1776716100,UP,0.74,6,Up,1.56
2026-04-20 15:23:31,btc-updown-5m-1776716400,UP,0.86,5,Up,0.7
2026-04-20 15:33:32,btc-updown-5m-1776717000,DOWN,0.96,5,Down,0.2
2026-04-20 15:39:15,btc-updown-5m-1776717300,DOWN,0.7,7,Up,-4.9
2026-04-20 15:43:31,btc-updown-5m-1776717600,DOWN,0.71,7,Down,2.03
2026-04-20 15:49:00,btc-updown-5m-1776717900,UP,0.71,7,Up,2.03
2026-04-20 15:53:54,btc-updown-5m-1776718200,UP,0.72,6,Up,1.68
2026-04-20 15:59:44,btc-updown-5m-1776718500,DOWN,0.78,6,Down,1.32
2026-04-20 16:03:37,btc-updown-5m-1776718800,DOWN,0.7,7,Down,2.1
2026-04-20 16:08:31,btc-updown-5m-1776719100,DOWN,0.95,5,Down,0.25
2026-04-20 16:18:31,btc-updown-5m-1776719700,DOWN,0.95,5,Down,0.25
2026-04-20 16:23:31,btc-updown-5m-1776720000,UP,0.84,5,Up,0.8
2026-04-20 16:28:41,btc-updown-5m-1776720300,DOWN,0.8,6,pending,
2026-04-20 16:33:42,btc-updown-5m-1776720600,DOWN,0.97,5,pending,
2026-04-20 16:38:31,btc-updown-5m-1776720900,UP,0.85,5,pending,
2026-04-20 16:43:31,btc-updown-5m-1776721200,UP,0.83,6,pending,
2026-04-20 16:49:15,btc-updown-5m-1776721500,UP,0.7,7,pending,
2026-04-20 16:53:31,btc-updown-5m-1776721800,UP,0.86,5,pending,
2026-04-20 16:58:31,btc-updown-5m-1776722100,UP,0.77,6,pending,
2026-04-20 17:03:31,btc-updown-5m-1776722400,UP,0.95,5,pending,
2026-04-20 17:08:31,btc-updown-5m-1776722700,DOWN,0.75,6,pending,
2026-04-20 17:14:32,btc-updown-5m-1776723000,DOWN,0.7,7,pending,
2026-04-20 17:18:31,btc-updown-5m-1776723300,DOWN,0.96,5,pending,
2026-04-20 17:24:30,btc-updown-5m-1776723600,UP,0.71,7,pending,
2026-04-20 17:28:31,btc-updown-5m-1776723900,DOWN,0.81,6,pending,
2026-04-20 17:33:30,btc-updown-5m-1776724200,UP,0.95,5,pending,
2026-04-20 17:38:48,btc-updown-5m-1776724500,DOWN,0.72,6,pending,
2026-04-20 17:43:31,btc-updown-5m-1776724800,DOWN,0.96,5,pending,
2026-04-20 17:48:31,btc-updown-5m-1776725100,DOWN,0.72,6,pending,
2026-04-20 17:53:34,btc-updown-5m-1776725400,UP,0.7,7,pending,
2026-04-20 17:58:31,btc-updown-5m-1776725700,UP,0.88,5,pending,
2026-04-20 18:08:31,btc-updown-5m-1776726300,DOWN,0.94,5,pending,
